date,gross_return,cost,net_return,turnover,n_long,n_short,n_positions,vol_target_multiplier
2023-06-01,0.0,0.0,0.0,0.0,0,0,0,1.0
2023-06-02,0.0,0.0,0.0,0.0,0,0,0,1.0
2023-06-05,0.0,0.0,0.0,0.0,0,0,0,1.0
2023-06-06,0.0,0.0,0.0,0.0,0,0,0,1.0
2023-06-07,0.0,0.0,0.0,0.0,0,0,0,1.0
2023-06-08,0.0,0.0,0.0,0.0,0,0,0,1.0
2023-06-09,0.0,0.0,0.0,0.0,0,0,0,1.0
2023-06-12,0.0,0.0,0.0,0.0,0,0,0,1.0
2023-06-13,0.0,0.0,0.0,0.0,0,0,0,1.0
2023-06-14,0.0,0.0,0.0,0.0,0,0,0,1.0
2023-06-15,0.0,0.0,0.0,0.0,0,0,0,1.0
2023-06-16,0.0,0.0,0.0,0.0,0,0,0,1.0
2023-06-20,0.0,0.0,0.0,0.0,0,0,0,1.0
2023-06-21,0.0,0.0,0.0,0.0,0,0,0,1.0
2023-06-22,0.0,0.0,0.0,0.0,0,0,0,1.0
2023-06-23,0.0,0.0,0.0,0.0,0,0,0,1.0
2023-06-26,0.0,0.0,0.0,0.0,0,0,0,1.0
2023-06-27,0.0,0.0,0.0,0.0,0,0,0,1.0
2023-06-28,0.0,0.0,0.0,0.0,0,0,0,1.0
2023-06-29,0.0,0.0,0.0,0.0,0,0,0,1.0
2023-06-30,0.0,0.0,0.0,0.0,0,0,0,1.0
2023-07-03,0.0,0.0,0.0,0.0,0,0,0,1.0
2023-07-05,0.0,0.0,0.0,0.0,0,0,0,1.0
2023-07-06,0.0,0.0,0.0,0.0,0,0,0,1.0
2023-07-07,0.0,0.0,0.0,0.0,0,0,0,1.0
2023-07-10,0.0,0.0,0.0,0.0,0,0,0,1.0
2023-07-11,0.0,0.0,0.0,0.0,0,0,0,1.0
2023-07-12,0.0,0.0,0.0,0.0,0,0,0,1.0
2023-07-13,0.0,0.0,0.0,0.0,0,0,0,1.0
2023-07-14,0.0,0.0,0.0,0.0,0,0,0,1.0
2023-07-17,-0.004019190612652069,0.000648,-0.004667190612652069,0.54,2,14,16,1.0
2023-07-18,0.006759660635431268,0.0005280000000000001,0.006231660635431268,0.44000000000000006,2,21,23,3.0
